statenam,Population,Color
Alabama,529121,#727272
Arkansas,324335,#727272
California,379994,#F1F1F1
Connecticut,460147,#F1F1F1
Dakota Territory,4837,#F1F1F1
Delaware,110418,#F1F1F1
District of Columbia,71895,#F1F1F1
Florida,78679,#727272
Georgia,595088,#727272
Illinois,1711951,#F1F1F1
Indian Territory,55000,#F1F1F1
Indiana,1350428,#F1F1F1
Iowa,674913,#F1F1F1
Kansas Territory,107204,#F1F1F1
Kentucky,1280201,#F1F1F1
Louisiana,376276,#727272
Maine,628279,#F1F1F1
Maryland,599860,#F1F1F1
Massachusetts,1231066,#F1F1F1
Michigan,749113,#F1F1F1
Minnesota,172023,#F1F1F1
Mississippi,354674,#727272
Missouri,1067081,#F1F1F1
Nebraska Territory,28826,#F1F1F1
New Hampshire,326073,#F1F1F1
New Jersey,672035,#F1F1F1
New Mexico Territory,93516,#F1F1F1
New York,3880735,#F1F1F1
North Carolina,661563,#727272
Ohio,2339511,#F1F1F1
Oregon,52465,#F1F1F1
Pennsylvania,2906215,#F1F1F1
Rhode Island,174620,#F1F1F1
South Carolina,301302,#727272
Tennessee,834082,#727272
Texas,421649,#727272
Utah Territory,40244,#F1F1F1
Vermont,315098,#F1F1F1
Virginia,755453,#727272
Washington Territory,11594,#F1F1F1
Wisconsin,775881,#F1F1F1
